Kasiski search for repeated strings of size 4.

xjru: 2| 934
avnu: 18| 381, 43, 80, 16, 73, 47, 43, 13, 66, 13, 175, 35, 26, 22, 13, 54, 206
vnux: 18| 381, 43, 80, 16, 73, 47, 43, 13, 66, 13, 175, 35, 26, 22, 13, 54, 206
nuxi: 7| 381, 139, 120, 345, 115, 206
uxiy: 4| 381, 259, 460
xiyv: 4| 381, 259, 460
iyvm: 4| 381, 259, 460
yvmu: 2| 381
vmuj: 2| 381
mujn: 2| 381
xvmq: 6| 94, 134, 108, 180, 72
vmqe: 6| 94, 134, 108, 180, 72
mqel: 5| 94, 242, 180, 72
qelh: 5| 94, 242, 180, 72
elhx: 3| 336, 180
xhqg: 2| 1461
hqgi: 2| 1461
qgiv: 2| 1461
givl: 3| 1461, 118
ivlm: 2| 1461
vlmx: 2| 1461
lmxh: 4| 440, 721, 300
mxhi: 5| 193, 120, 937, 211
xhiq: 8| 193, 27, 93, 937, 211, 86, 138
hiqh: 4| 87, 1374, 86
iqhq: 2| 1461
hqeb: 2| 822
qeba: 3| 191, 631
ebaj: 4| 191, 631, 522
bajm: 3| 191, 1153
wmnx: 2| 432
mnxj: 2| 432
nxjm: 2| 432
xjmx: 4| 432, 861, 450
jmxm: 2| 1743
hevr: 2| 69
vrex: 2| 650
exvh: 2| 1647
frqx: 2| 1109
rqxh: 3| 604, 442
qxhv: 3| 604, 442
xhvr: 3| 604, 442
hvrp: 2| 1046
vrpn: 2| 1046
xixj: 3| 864, 61
ixjr: 5| 60, 804, 61, 528
xjrh: 2| 175
jrhq: 2| 175
rhqx: 3| 175, 1311
hqxr: 5| 175, 196, 473, 642
rqfr: 3| 318, 248
qfrf: 2| 566
rahu: 2| 637
xrzr: 2| 1215
rzrq: 3| 1048, 167
gxjr: 4| 565, 425, 42
xjrx: 2| 494
jrxv: 2| 494
rxvm: 3| 242, 252
elhe: 2| 494
lhee: 2| 494
heeh: 2| 494
eehi: 2| 494
ehiq: 2| 494
iqhx: 2| 1626
vrar: 2| 419
rarh: 2| 419
arhz: 2| 419
rhzr: 2| 419
rfcn: 3| 1035, 438
xjrv: 5| 405, 368, 60, 560
jrve: 3| 592, 132
rvex: 2| 419
vexj: 2| 419
