Kasiski search for repeated strings of size 5.

avnux: 18| 381, 43, 80, 16, 73, 47, 43, 13, 66, 13, 175, 35, 26, 22, 13, 54, 206
vnuxi: 7| 381, 139, 120, 345, 115, 206
nuxiy: 4| 381, 259, 460
uxiyv: 4| 381, 259, 460
xiyvm: 4| 381, 259, 460
xvmqe: 6| 94, 134, 108, 180, 72
vmqel: 5| 94, 242, 180, 72
mqelh: 5| 94, 242, 180, 72
qelhx: 3| 336, 180
mxhiq: 5| 193, 120, 937, 211
xhiqh: 3| 1461, 86
qebaj: 3| 191, 631
ebajm: 3| 191, 1153
rqxhv: 3| 604, 442
qxhvr: 3| 604, 442
xixjr: 3| 864, 61
rhqxr: 3| 175, 1311
rxvmq: 3| 242, 252
whxjx: 3| 737, 60
hxjxj: 3| 737, 60
xjxjr: 3| 737, 60
aillb: 3| 120, 937
illbq: 3| 120, 937
llbqh: 3| 120, 937
lbqha: 3| 120, 937
bqham: 3| 120, 937
qhamx: 3| 120, 937
hamxh: 3| 120, 937
amxhi: 3| 120, 937
xhiqe: 3| 27, 93
ubcph: 4| 700, 258, 62
bcpha: 4| 700, 258, 62
ajmqq: 4| 958, 224, 75
jmqqr: 4| 958, 224, 75
mqqrp: 4| 958, 224, 75
rqavn: 6| 80, 179, 79, 188, 83
qavnu: 6| 80, 179, 79, 188, 83
vnuxh: 10| 169, 90, 13, 66, 13, 175, 61, 22, 13
nuxhq: 10| 169, 90, 13, 66, 13, 175, 61, 22, 13
uxhqy: 10| 169, 90, 13, 66, 13, 175, 61, 22, 13
hqyxj: 5| 67, 102, 225, 962
qyxjr: 4| 67, 102, 225
lreem: 4| 68, 57, 282
reemy: 4| 68, 57, 282
eemyr: 4| 68, 57, 282
xjrrq: 4| 173, 273, 83
jrrqa: 3| 446, 83
rrqav: 4| 179, 267, 83
nuxix: 3| 465, 321
uxixr: 3| 465, 321
xixrs: 3| 465, 321
ixrsx: 3| 465, 321
fravn: 5| 103, 79, 236, 35
ravnu: 7| 103, 79, 210, 26, 35, 54
xjrer: 5| 34, 166, 258, 43
jrera: 5| 34, 166, 258, 43
rerab: 3| 200, 258
erabv: 5| 200, 258, 179, 283
rabvh: 3| 200, 258
abvhx: 3| 200, 258
bvhxn: 3| 200, 258
vhxni: 3| 200, 258
hxnig: 3| 200, 258
eravr: 3| 467, 349
nigxj: 3| 425, 42
igxjr: 3| 425, 42
xhqym: 6| 79, 188, 61, 22, 13
hqymq: 3| 79, 271
qymqf: 3| 79, 271
ymqff: 3| 79, 271
mqffr: 3| 79, 271
qffra: 3| 79, 271
ffrav: 3| 79, 271
jiwrz: 3| 698, 220
iwrzr: 3| 698, 220
wrzrv: 3| 698, 220
mpyiv: 4| 210, 61, 35
pyivh: 4| 210, 61, 35
yivhx: 4| 210, 61, 35
ivhxj: 4| 210, 61, 35
vhxjl: 4| 210, 61, 35
drnhe: 3| 303, 36
mqhqu: 3| 61, 724
hqymp: 3| 61, 35
qympy: 3| 61, 35
ympyi: 3| 61, 35
xjrdr: 4| 62, 36, 198
jrdrn: 4| 62, 36, 198
rmzre: 3| 247, 180
mzref: 3| 247, 180
zrefv: 3| 247, 180
refvi: 3| 247, 180
efviu: 3| 247, 180
fviuu: 3| 247, 180
